family,count
AUTOMOTIVE,90936
BABY CARE,90936
BEAUTY,90936
BEVERAGES,90936
BOOKS,90936
BREAD/BAKERY,90936
CELEBRATION,90936
CLEANING,90936
DAIRY,90936
DELI,90936
EGGS,90936
FROZEN FOODS,90936
GROCERY I,90936
GROCERY II,90936
HARDWARE,90936
HOME AND KITCHEN I,90936
HOME AND KITCHEN II,90936
HOME APPLIANCES,90936
HOME CARE,90936
LADIESWEAR,90936
LAWN AND GARDEN,90936
LINGERIE,90936
"LIQUOR,WINE,BEER",90936
MAGAZINES,90936
MEATS,90936
PERSONAL CARE,90936
PET SUPPLIES,90936
PLAYERS AND ELECTRONICS,90936
POULTRY,90936
PREPARED FOODS,90936
PRODUCE,90936
SCHOOL AND OFFICE SUPPLIES,90936
SEAFOOD,90936
